icd_code;disease_type_pl;disease_type_en;icd_disease_details;disease_pl_details;disease_en_details
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.8;Niedobór innych określonych witamin z grupy B;
E53;Niedobór innych witamin z grupy B;Deficiency of other B group vitamins;E53.9;Niedobór witamin z grupy B, nieokreślony;Vitamin B deficiency, unspecified
E54;Niedobór kwasu askorbinowego;Ascorbic acid deficiency;;;
E54;Niedobór kwasu askorbinowego;Ascorbic acid deficiency;;;
E55;Niedobór witaminy D;Vitamin D deficiency;E55.0;Krzywica, czynna;Rickets, active
E55;Niedobór witaminy D;Vitamin D deficiency;E55.0;Krzywica, czynna;
E55;Niedobór witaminy D;Vitamin D deficiency;E55.0;Krzywica, czynna;
E55;Niedobór witaminy D;Vitamin D deficiency;E55.9;Niedobór witaminy D, nieokreślony;Vitamin D deficiency, unspecified
E55;Niedobór witaminy D;Vitamin D deficiency;E55.9;Niedobór witaminy D, nieokreślony;
E56;Inne niedobory witaminowe;Other vitamin deficiencies;E56.0;Niedobór witaminy E;Deficiency of vitamin E
E56;Inne niedobory witaminowe;Other vitamin deficiencies;E56.1;Niedobór witaminy K;Deficiency of vitamin K
E56;Inne niedobory witaminowe;Other vitamin deficiencies;E56.8;Niedobór innych witamin;Deficiency of other vitamins
E56;Inne niedobory witaminowe;Other vitamin deficiencies;E56.9;Niedobór witamin, nieokreślony;Vitamin deficiency, unspecified
E58;Niedobór pokarmowy wapnia;Dietary calcium deficiency;;;
E59;Niedobór pokarmowy selenu;Dietary selenium deficiency;;;
E60;Niedobór pokarmowy cynku;Dietary zinc deficiency;;;
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.0;Niedobór miedzi;Copper deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.1;Niedobór żelaza;Iron deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.2;Niedobór magnezu;Magnesium deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.3;Niedobór manganu;Manganese deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.4;Niedobór chromu;Chromium deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.5;Niedobór molibdenu;Molybdenum deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.6;Niedobór wanadu;Vanadium deficiency
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.7;Niedobór wielu substancji odżywczych;Deficiency of multiple nutrient elements
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.8;Niedobór innych określonych substancji odżywczych;Deficiency of other specified nutrient elements
E61;Niedobór innych substancji odżywczych;Deficiency of other nutrient elements;E61.9;Niedobór substancji odżywczych, nieokreślony;Deficiency of nutrient element, unspecified
E63;Inne niedobory pokarmowe;Other nutritional deficiencies;E63.0;Niedobór niezbędnych kwasów tłuszczowych [NKT];Essential fatty acid [EFA] deficiency
E63;Inne niedobory pokarmowe;Other nutritional deficiencies;E63.1;Zaburzenie równowagi składników pokarmowych;Imbalance of constituents of food intake
E63;Inne niedobory pokarmowe;Other nutritional deficiencies;E63.8;Inne określone niedobory pokarmowe;Other specified nutritional deficiencies
E63;Inne niedobory pokarmowe;Other nutritional deficiencies;E63.9;Niedobory pokarmowe, nieokreślone;Nutritional deficiency, unspecified
E63;Inne niedobory pokarmowe;Other nutritional deficiencies;E63.9;Niedobory pokarmowe, nieokreślone;
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.0;Następstwa niedoborów białkowo-energetycznych;Sequelae of protein-energy malnutrition
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.1;Następstwa niedoboru witaminy A;Sequelae of vitamin A deficiency
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.2;Następstwa niedoboru witaminy C;Sequelae of vitamin C deficiency
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.3;Następstwa krzywicy;Sequelae of rickets
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.8;Następstwa innych niedoborów pokarmowych;Sequelae of other nutritional deficiencies
E64;Następstwa niedożywienia i innych niedoborów pokarmowych;Sequelae of malnutrition and other nutritional deficiencies;E64.9;Następstwa nieokreślonych niedoborów pokarmowych;Sequelae of unspecified nutritional deficiency
E65;Otyłość miejscowa;Localized adiposity;;;
E66;Otyłość;Obesity;E66.0;Otyłość spowodowana nadmierną podażą energii;Obesity due to excess calories
E66;Otyłość;Obesity;E66.1;Otyłość polekowa;Drug-induced obesity
E66;Otyłość;Obesity;E66.2;Ciężka otyłość z hipowentylacją pęcherzykową;Extreme obesity with alveolar hypoventilation
E66;Otyłość;Obesity;E66.2;Ciężka otyłość z hipowentylacją pęcherzykową;
E66;Otyłość;Obesity;E66.8;Inne postacie otyłości;Other obesity
E66;Otyłość;Obesity;E66.8;Inne postacie otyłości;
E66;Otyłość;Obesity;E66.9;Otyłość, nieokreślona;Obesity, unspecified
E66;Otyłość;Obesity;E66.9;Otyłość, nieokreślona;
E67;Inne zespoły z hiperalimentacji;Other hyperalimentation;E67.0;Hiperwitaminoza A;Hypervitaminosis A
E67;Inne zespoły z hiperalimentacji;Other hyperalimentation;E67.1;Hiperkarotenemia;Hypercarotenaemia
E67;Inne zespoły z hiperalimentacji;Other hyperalimentation;E67.2;Zespół przedawkowania witaminy B6;Megavitamin-B6 syndrome
E67;Inne zespoły z hiperalimentacji;Other hyperalimentation;E67.3;Hiperwitaminoza D;Hypervitaminosis D
E67;Inne zespoły z hiperalimentacji;Other hyperalimentation;E67.8;Inna określona hiperalimentacja;Other specified hyperalimentation
E68;Następstwa hiperalimentacji;Sequelae of hyperalimentation;;;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.0;Klasyczna fenyloketonuria;Classical phenylketonuria
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.1;Inne hiperfenyloalaninemie;Other hyperphenylalaninaemias
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;Disorders of tyrosine metabolism
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.2;Zaburzenia przemian tyrozyny;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;Albinism
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.3;Bielactwo;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.8;Inne zaburzenia przemian aminokwasów aromatycznych;Other disorders of aromatic amino-acid metabolism
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.8;Inne zaburzenia przemian aminokwasów aromatycznych;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.8;Inne zaburzenia przemian aminokwasów aromatycznych;
E70;Zaburzenia przemian aminokwasów aromatycznych;Disorders of aromatic amino-acid metabolism;E70.9;Zaburzenia przemian aminokwasów aromatycznych, nieokreślone;Disorder of aromatic amino-acid metabolism, unspecified
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.0;Choroba syropu klonowego;Maple-syrup-urine disease
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;Other disorders of branched-chain amino-acid metabolism
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.1;Inne zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.2;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach, nieokreślone;Disorder of branched-chain amino-acid metabolism, unspecified
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.3;Zaburzenia przemian kwasów tłuszczowych;Disorders of fatty-acid metabolism
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.3;Zaburzenia przemian kwasów tłuszczowych;
E71;Zaburzenia przemian aminokwasów o rozgałęzionych łańcuchach i kwasów tłuszczowych;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;E71.3;Zaburzenia przemian kwasów tłuszczowych;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;Disorders of amino-acid transport
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.0;Zaburzenia transportu aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.1;Zaburzenia przemian aminokwasów zawierających siarkę;Disorders of sulfur-bearing amino-acid metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.1;Zaburzenia przemian aminokwasów zawierających siarkę;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.1;Zaburzenia przemian aminokwasów zawierających siarkę;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.1;Zaburzenia przemian aminokwasów zawierających siarkę;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.1;Zaburzenia przemian aminokwasów zawierających siarkę;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.2;Zaburzenia przemian cyklu mocznikowego;Disorders of urea cycle metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.2;Zaburzenia przemian cyklu mocznikowego;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.2;Zaburzenia przemian cyklu mocznikowego;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.2;Zaburzenia przemian cyklu mocznikowego;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.2;Zaburzenia przemian cyklu mocznikowego;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.3;Zaburzenia przemian lizyny i hydroksylizyny;Disorders of lysine and hydroxylysine metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.3;Zaburzenia przemian lizyny i hydroksylizyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.3;Zaburzenia przemian lizyny i hydroksylizyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.3;Zaburzenia przemian lizyny i hydroksylizyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.4;Zaburzenia przemian ornityny;Disorders of ornithine metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.4;Zaburzenia przemian ornityny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.5;Zaburzenia przemian glicyny;Disorders of glycine metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.5;Zaburzenia przemian glicyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.5;Zaburzenia przemian glicyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.5;Zaburzenia przemian glicyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.5;Zaburzenia przemian glicyny;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.8;Inne określone zaburzenia przemian aminokwasów;Other specified disorders of amino-acid metabolism
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.8;Inne określone zaburzenia przemian aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.8;Inne określone zaburzenia przemian aminokwasów;
E72;Inne zaburzenia przemian aminokwasów;Other disorders of amino-acid metabolism;E72.9;Zaburzenia przemian aminokwasów, nieokreślone;Disorder of amino-acid metabolism, unspecified
E73;Nietolerancja laktozy;Lactose intolerance;E73.0;Wrodzony niedobór laktazy;Congenital lactase deficiency
E73;Nietolerancja laktozy;Lactose intolerance;E73.1;Wtórny niedobór laktazy;Secondary lactase deficiency
E73;Nietolerancja laktozy;Lactose intolerance;E73.8;Inna nietolerancja laktozy;Other lactose intolerance
E73;Nietolerancja laktozy;Lactose intolerance;E73.9;Nietolerancja laktozy, nieokreślona;Lactose intolerance, unspecified
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;Glycogen storage disease
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.0;Choroba spichrzeniowa glikogenu;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.1;Zaburzenia przemian fruktozy;Disorders of fructose metabolism
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.1;Zaburzenia przemian fruktozy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.1;Zaburzenia przemian fruktozy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.1;Zaburzenia przemian fruktozy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.2;Zaburzenia przemian galaktozy;Disorders of galactose metabolism
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.2;Zaburzenia przemian galaktozy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.2;Zaburzenia przemian galaktozy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.3;Inne zaburzenia wchłaniania jelitowego węglowodanów;Other disorders of intestinal carbohydrate absorption
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.3;Inne zaburzenia wchłaniania jelitowego węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.3;Inne zaburzenia wchłaniania jelitowego węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.4;Zaburzenia przemian pirogronianu i glukoneogenezy;Disorders of pyruvate metabolism and gluconeogenesis
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.4;Zaburzenia przemian pirogronianu i glukoneogenezy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.4;Zaburzenia przemian pirogronianu i glukoneogenezy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.4;Zaburzenia przemian pirogronianu i glukoneogenezy;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.8;Inne określone zaburzenia przemian węglowodanów;Other specified disorders of carbohydrate metabolism
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.8;Inne określone zaburzenia przemian węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.8;Inne określone zaburzenia przemian węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.8;Inne określone zaburzenia przemian węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.8;Inne określone zaburzenia przemian węglowodanów;
E74;Inne zaburzenia przemian węglowodanów;Other disorders of carbohydrate metabolism;E74.9;Zaburzenia przemian węglowodanów, nieokreślone;Disorder of carbohydrate metabolism, unspecified
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;GM2 gangliosidosis
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.0;Gangliozydoza GM2;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.1;Inne gangliozydozy;Other gangliosidosis
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.1;Inne gangliozydozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.1;Inne gangliozydozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.1;Inne gangliozydozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.1;Inne gangliozydozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;Other sphingolipidosis
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.2;Inne sfingolipidozy;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.3;Sfingolipidoza, nieokreślona;Sphingolipidosis, unspecified
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.4;Lipofuscynoza neuronalna;Neuronal ceroid lipofuscinosis
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.4;Lipofuscynoza neuronalna;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.4;Lipofuscynoza neuronalna;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.4;Lipofuscynoza neuronalna;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.4;Lipofuscynoza neuronalna;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.5;Inne zaburzenia spichrzania lipidów;Other lipid storage disorders
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.5;Inne zaburzenia spichrzania lipidów;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.5;Inne zaburzenia spichrzania lipidów;
E75;Zaburzenia przemian sfingolipidów i inne zaburzenia spichrzania lipidów;Disorders of sphingolipid metabolism and other lipid storage disorders;E75.6;Zaburzenia spichrzania lipidów, nieokreślone;Lipid storage disorder, unspecified
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.0;Mukopolisacharydoza typu I;Mucopolysaccharidosis, type I
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.0;Mukopolisacharydoza typu I;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.0;Mukopolisacharydoza typu I;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.0;Mukopolisacharydoza typu I;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.1;Mukopolisacharydoza typu II;Mucopolysaccharidosis, type II
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.1;Mukopolisacharydoza typu II;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;Other mucopolysaccharidoses
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.2;Inne mukopolisacharydozy;
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.3;Mukopolisacharydoza, nieokreślona;Mucopolysaccharidosis, unspecified
E76;Zaburzenia przemian glikozaminoglikanów;Disorders of glycosaminoglycan metabolism;E76.8;Inne zaburzenia przemian glikozaminoglikanów;Other disorders of glucosaminoglycan metabolism
