hospital_code;diag_code;drug_code;patient_count;is_suppressed
3101054;C16.0;5909990994601;19;false
3101054;C16.0;5909990948994;;true
3101054;C16.0;5055565726990;;true
3101054;C16.0;5055565707548;;true
3101054;C16.0;5909991004736;;true
3101054;C16.0;5909990958535;;true
3101054;C16.0;5909991220518;;true
3101054;C16.0;5909990796168;9;false
3101054;C16.0;5901571320649;;true
3101054;C16.0;5902020241720;;true
3101054;C16.0;5909991220501;;true
3101054;C16.0;5909990662753;;true
3101054;C16.0;5909990776313;;true
3101054;C16.0;5909990055234;41;false
3101054;C16.0;5909991037093;7;false
3101054;C16.0;5901797710781;;true
3101054;C16.0;5909990055197;;true
3101054;C16.0;5909990894772;7;false
3101054;C16.0;5909991205898;5;false
3101054;C16.1;5055565748640;;true
3101054;C16.1;5909990055234;6;false
3101054;C16.1;5909990478019;5;false
3101054;C16.1;5901571320649;;true
3101054;C16.1;5909990648825;5;false
3101054;C16.1;5909990796168;;true
3101054;C16.1;5909990994601;;true
3101054;C16.1;5909990827206;;true
3101054;C16.1;5909991220518;;true
3101054;C16.1;5909991220501;;true
3101054;C16.1;5055565731352;;true
3101054;C16.1;5901571320625;;true
3101054;C16.1;5909990827381;5;false
3101054;C16.2;5909990958535;;true
3101054;C16.2;7613421047009;;true
3101054;C16.2;5909991246563;;true
3101054;C16.2;5909991004699;6;false
3101054;C16.2;5902020241737;5;false
3101054;C16.2;5055565726990;;true
3101054;C16.2;5909991104337;;true
3101054;C16.2;5909990055234;57;false
3101054;C16.2;5909990340330;;true
3101054;C16.2;5909990894772;;true
3101054;C16.2;5909990994601;24;false
3101054;C16.2;5901571320649;;true
3101054;C16.2;5909990648825;49;false
3101054;C16.2;5909991220501;13;false
3101054;C16.2;5909990744510;;true
3101054;C16.2;5909991205898;;true
3101054;C16.2;5055565748640;8;false
3101054;C16.2;5909991004736;7;false
3101054;C16.2;5055565726983;;true
3101054;C16.2;5909990478019;49;false
3101054;C16.2;5909990776313;;true
3101054;C16.2;5902020241720;;true
3101054;C16.2;5909991037093;5;false
3101054;C16.2;5055565707531;;true
3101054;C16.2;5901571320625;;true
3101054;C16.2;5909990827206;11;false
3101054;C16.2;5055565731352;8;false
3101054;C16.2;5909991233303;;true
3101054;C16.2;5909991220518;13;false
3101054;C16.2;5909990827381;38;false
3101054;C16.2;5909990796168;18;false
3101054;C16.3;5909991220501;;true
3101054;C16.3;5909990994601;;true
3101054;C16.3;5909990055234;;true
3101054;C16.3;5909991220518;;true
3101054;C16.3;5909990827381;;true
3101054;C16.3;5909990796168;;true
3101054;C16.3;5909990648825;;true
3101054;C16.3;5909990478019;;true
3101054;C16.3;5909991037093;;true
3101054;C16.3;5909991205898;;true
3101054;C16.4;5909991220501;5;false
3101054;C16.4;5055565731352;;true
3101054;C16.4;5909990055234;21;false
3101054;C16.4;5909990827381;15;false
3101054;C16.4;5909990827206;7;false
3101054;C16.4;5909990796168;6;false
3101054;C16.4;5055565748640;;true
3101054;C16.4;5909991004736;;true
3101054;C16.4;5909990648825;20;false
3101054;C16.4;5909990478019;20;false
3101054;C16.4;5909990340330;;true
3101054;C16.4;5909991004699;;true
3101054;C16.4;5909990994601;14;false
3101054;C16.4;5909991220518;5;false
3101054;C16.4;5909991233303;;true
3101054;C16.4;5902020241737;;true
3101054;C16.5;5909990994601;;true
3101054;C16.5;5909990827206;;true
3101054;C16.5;5909990648825;;true
3101054;C16.5;5909990055234;;true
3101054;C16.5;5909990478019;;true
3101054;C16.5;5909990827381;;true
3101054;C16.5;5055565726990;;true
3101054;C16.6;5909990648825;;true
3101054;C16.6;5909990478019;;true
3101054;C16.6;5909991400576;;true
3101054;C16.6;5909991412715;;true
3101054;C16.6;5909990055234;;true
3101054;C16.6;5909990894772;;true
3101054;C16.6;5909991104337;;true
3101054;C16.8;5909991205898;;true
3101054;C16.8;5909991037093;;true
3101054;C16.8;5909990796168;;true
3101054;C16.8;5909991220518;;true
3101054;C16.8;5909991220501;;true
3101054;C16.8;5055565726990;;true
3101054;C16.8;5909990994601;;true
3101054;C16.8;5909990478019;;true
3101054;C16.8;5909990055234;;true
3101054;C16.8;5909990648825;;true
3101054;C16.8;5055565731352;;true
3101054;C16.8;5909990827381;;true
3101054;C16.9;5909990340330;;true
3101054;C16.9;5909991400576;;true
3101054;C16.9;5909990648825;28;false
3101054;C16.9;5909990796168;6;false
3101054;C16.9;5909991246563;;true
3101054;C16.9;5901571320649;;true
3101054;C16.9;5055565785706;;true
3101054;C16.9;5909990478019;29;false
3101054;C16.9;5055565748640;;true
3101054;C16.9;5909991205898;;true
3101054;C16.9;5909990827381;20;false
3101054;C16.9;5909990894772;;true
3101054;C16.9;5901571320618;;true
3101054;C16.9;5055565726983;;true
3101054;C16.9;5909991220518;7;false
3101054;C16.9;5909991037086;;true
3101054;C16.9;5902020241737;5;false
3101054;C16.9;7613421047009;;true
3101054;C16.9;5909991037093;;true
3101054;C16.9;5909990948994;;true
3101054;C16.9;5909991104337;;true
3101054;C16.9;5909991440145;;true
3101054;C16.9;5909990958535;;true
3101054;C16.9;5909991004736;;true
3101054;C16.9;5909990827206;8;false
3101054;C16.9;5055565775943;;true
3101054;C16.9;5909990055234;40;false
3101054;C16.9;5909990459513;;true
3101054;C16.9;5995327181608;;true
3101054;C16.9;5055565707548;;true
3101054;C16.9;5909991220501;7;false
3101054;C16.9;5909990994601;14;false
3101054;C16.9;5902020241720;;true
3101054;C16.9;5909990055197;;true
3101054;C16.9;5055565726990;17;false
3101054;C16.9;5901571320625;;true
3101054;C16.9;5055565713846;;true
3101054;C16.9;5909991465643;;true
3101054;C16.9;5909991004699;5;false
3101054;C16.9;5055565731352;7;false
3101054;C16.9;5909990614844;;true
3101054;C17;5909991094614;;true
3101054;C17.0;5909990055234;;true
3101054;C17.0;5055565726990;;true
3101054;C17.0;5909990459513;;true
3101054;C17.0;7613421047009;;true
3101054;C17.0;5909990648825;;true
3101054;C17.0;5909991440145;;true
3101054;C17.0;5909990478019;;true
3101054;C17.0;03400930243640;;true
3101054;C17.1;5055565726990;;true
3101054;C17.1;5909990648825;;true
3101054;C17.1;5909990827381;;true
3101054;C17.1;5909990478019;;true
3101054;C17.1;5055565731352;;true
3101054;C17.1;5902020241720;;true
3101054;C17.1;5909990055234;;true
3101054;C17.1;5902020241737;;true
3101054;C17.1;5909990827206;;true
3101054;C17.2;5055565726983;;true
3101054;C17.2;5995327181592;;true
3101054;C17.2;5909991465612;;true
3101054;C17.2;5055565726990;;true
3101054;C17.2;7613421047009;;true
3101054;C17.2;5909991465643;;true
3101054;C17.2;5995327181608;;true
3101054;C17.2;5909991094614;;true
3101054;C17.2;5907626709292;;true
3101054;C17.3;5055565726990;;true
3101054;C17.8;5909991094614;;true
3101054;C17.8;5055565726990;;true
3101054;C17.9;5995327181615;;true
3101054;C17.9;5909990648825;;true
3101054;C17.9;5055565731352;;true
3101054;C17.9;5909990055234;;true
3101054;C17.9;5055565785706;;true
3101054;C17.9;5909990478019;;true
3101054;C17.9;5909991094614;;true
3101054;C17.9;03400930243640;;true
3101054;C17.9;5055565726983;6;false
3101054;C17.9;5907626709292;;true
3101054;C17.9;5909991440145;;true
3101054;C17.9;5995327181608;;true
3101054;C17.9;7613421047009;;true
3101054;C17.9;9008732012415;;true
3101054;C17.9;5055565726990;14;false
3101054;C18;5902020241737;;true
3101054;C18;5909990340330;;true
3101054;C18;5909991004699;;true
3101054;C18;5901571320649;;true
3101054;C18;5055565731352;;true
3101054;C18;5901571320625;;true
3101054;C18;5055565707548;;true
3101054;C18;5909990055234;;true
3101054;C18;5901549325126;;true
3101054;C18;5909990948994;;true
3101054;C18.0;5901571320625;;true
3101054;C18.0;5909991094614;;true
3101054;C18.0;5902020241737;8;false
3101054;C18.0;5901571320649;;true
3101054;C18.0;5909990055197;;true
3101054;C18.0;5055565707548;;true
3101054;C18.0;5909990646531;;true
3101054;C18.0;5909990646555;;true
3101054;C18.0;5902020241720;;true
3101054;C18.0;5055565748640;;true
3101054;C18.0;5909990055234;25;false
3101054;C18.0;5909990648825;19;false
3101054;C18.0;5055565731352;8;false
3101054;C18.0;5909991451349;5;false
3101054;C18.0;5909990739035;;true
3101054;C18.0;5909990827206;;true
3101054;C18.0;5909990478019;19;false
3101054;C18.0;5909990340330;;true
3101054;C18.0;5909991004699;11;false
3101054;C18.0;5909990796168;9;false
3101054;C18.0;5909990827381;14;false
3101054;C18.0;5901549325126;;true
3101054;C18.0;5909991004736;7;false
3101054;C18.0;5909990948994;;true
3101054;C18.0;5909990958535;;true
3101054;C18.1;5055565707548;;true
3101054;C18.1;5909990478019;5;false
3101054;C18.1;5909990648825;5;false
3101054;C18.1;5909990035922;;true
3101054;C18.1;5909990055234;6;false
3101054;C18.1;5909990646555;;true
3101054;C18.1;5909990646531;;true
3101054;C18.1;5909990827206;;true
3101054;C18.1;5909990827381;;true
3101054;C18.1;5909990035946;;true
3101054;C18.1;5909991004699;;true
3101054;C18.1;5902020241737;;true
3101054;C18.1;5055565731352;;true
3101054;C18.2;5909990646555;;true
3101054;C18.2;5901571320618;;true
3101054;C18.2;5909991004699;19;false
3101054;C18.2;5909991039462;;true
3101054;C18.2;5909990796168;13;false
3101054;C18.2;5909990035946;5;false
3101054;C18.2;5909991039400;;true
3101054;C18.2;5909990478019;42;false
3101054;C18.2;5909990827206;10;false
3101054;C18.2;5909990739035;;true
3101054;C18.2;5909990035922;5;false
3101054;C18.2;5909991004736;16;false
3101054;C18.2;5909990646531;;true
3101054;C18.2;5909990948994;;true
3101054;C18.2;5909990648825;42;false
3101054;C18.2;5055565707548;;true
3101054;C18.2;5055565748640;5;false
3101054;C18.2;5909990827381;33;false
3101054;C18.2;5055565731352;24;false
3101054;C18.2;5901571320649;8;false
3101054;C18.2;5902020241737;22;false
3101054;C18.2;5901571320625;6;false
3101054;C18.2;5901549325126;;true
3101054;C18.2;5902020241720;7;false
3101054;C18.2;5909990871049;;true
3101054;C18.2;5909991451349;10;false
3101054;C18.2;5909990340330;;true
3101054;C18.2;5909990055234;61;false
3101054;C18.3;5901549325126;;true
3101054;C18.3;5909990055234;17;false
3101054;C18.3;5055565707548;;true
3101054;C18.3;5909990035922;;true
3101054;C18.3;5055565731352;6;false
3101054;C18.3;5055565713846;;true
3101054;C18.3;5909990646555;;true
3101054;C18.3;5909990648825;8;false
3101054;C18.3;5909990340330;;true
3101054;C18.3;5055565748640;;true
3101054;C18.3;5909991004736;7;false
3101054;C18.3;5902020241737;11;false
3101054;C18.3;5909990827381;11;false
3101054;C18.3;5909991451349;;true
3101054;C18.3;5909990035946;;true
3101054;C18.3;5909990478019;8;false
3101054;C18.3;5909990796168;;true
3101054;C18.3;5909990827206;7;false
3101054;C18.3;5909990646531;;true
3101054;C18.3;5902020241720;;true
3101054;C18.3;5909991004699;6;false
3101054;C18.4;5055565748640;;true
3101054;C18.4;5055565707548;;true
3101054;C18.4;5901571320618;;true
3101054;C18.4;5902020241737;8;false
3101054;C18.4;5901571320625;;true
3101054;C18.4;3573994003946;;true
3101054;C18.4;5909990827206;5;false
3101054;C18.4;5909990827381;8;false
3101054;C18.4;5909990796168;;true
3101054;C18.4;5909990894772;;true
3101054;C18.4;5055565713846;;true
3101054;C18.4;5909991451349;7;false
3101054;C18.4;5909990055234;14;false
3101054;C18.4;5909991004699;;true
3101054;C18.4;5909991004736;;true
3101054;C18.4;5909990648825;8;false
3101054;C18.4;5909990035946;;true
3101054;C18.4;5901571320649;;true
3101054;C18.4;5909990478019;8;false
3101054;C18.4;5909990948994;;true
3101054;C18.4;5902020241720;;true
3101054;C18.4;5055565731352;5;false
3101054;C18.5;5909990035946;;true
3101054;C18.5;5055565707548;;true
3101054;C18.5;5902020241737;;true
3101054;C18.5;5909990646555;;true
3101054;C18.5;5055565713846;;true
3101054;C18.5;5909990646531;;true
3101054;C18.5;5909990827206;7;false
3101054;C18.5;5909990478019;11;false
3101054;C18.5;5909990648825;11;false
3101054;C18.5;5055565748640;;true
3101054;C18.5;5909990948994;;true
3101054;C18.5;5909991451349;;true
3101054;C18.5;5909991004699;6;false
3101054;C18.5;5909990827381;10;false
3101054;C18.5;5909991412715;;true
3101054;C18.5;5909990796168;5;false
3101054;C18.5;5055565731352;8;false
3101054;C18.5;5909990055234;15;false
3101054;C18.5;5909991004736;;true
3101054;C18.5;5909990035922;;true
3101054;C18.6;5909990827381;7;false
3101054;C18.6;5909990958535;;true
3101054;C18.6;5909991451349;;true
3101054;C18.6;5909990035922;;true
3101054;C18.6;5909990894772;;true
3101054;C18.6;5055565748640;;true
3101054;C18.6;5055565707548;;true
3101054;C18.6;5909991037093;;true
3101054;C18.6;5055565731352;8;false
3101054;C18.6;5909990035946;;true
3101054;C18.6;5901571320618;;true
3101054;C18.6;5902020241720;;true
3101054;C18.6;5909990796168;;true
3101054;C18.6;5909991004736;;true
3101054;C18.6;5901571320625;;true
3101054;C18.6;5909990646531;;true
3101054;C18.6;5909990478019;10;false
3101054;C18.6;5909990648825;10;false
3101054;C18.6;5902020241737;8;false
3101054;C18.6;5909991004699;5;false
3101054;C18.6;5901571320649;;true
3101054;C18.6;5909990055234;18;false
3101054;C18.7;5909990055197;;true
